MS46522B
!2036101/M1: 20062002
!7/30/2026.2:13:51.PM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION.OFF
!AVERAGING.OFF
!IF.BANDWIDTH: 100HZ
!NUMBER.OF.TRACES: 2
!TRACE:       ,TRACE.1           ,TRACE.2           
!PARAMETER:   ,S21               ,S21               
!PORT:        ,PORT1             ,PORT1             
!GRAPH:       ,LOGMAG.PHASE      ,POLAR.LIN.PHASE   
!SMOOTHING:   ,OFF               ,OFF               
!TIMEDOMAIN:  ,NOT.INSTALLED     ,NOT.INSTALLED     
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT,FREQ1.GHZ,LOGMAG1,PHASE1.DEG,FREQ2.GHZ,LINMAG2,PHASE2.DEG
1,7.631754849,-6.430777E+001,172.5729000,7.631754849,-6.038825E-004,0.0000787
2,7.631762349,-6.427430E+001,172.5113000,7.631762349,-6.061291E-004,0.0000797
3,7.631769849,-6.423128E+001,172.9172000,7.631769849,-6.096900E-004,0.0000758
4,7.631777349,-6.406770E+001,173.0037000,7.631777349,-6.213963E-004,0.0000763
5,7.631784849,-6.436938E+001,172.8053000,7.631784849,-5.999263E-004,0.0000757
6,7.631792349,-6.420683E+001,172.3631000,7.631792349,-6.106460E-004,0.0000819
7,7.631799849,-6.427829E+001,173.5727000,7.631799849,-6.072219E-004,0.0000684
8,7.631807349,-6.414793E+001,172.7609000,7.631807349,-6.153582E-004,0.0000782
9,7.631814849,-6.415974E+001,173.8978000,7.631814849,-6.159496E-004,0.0000659
10,7.631822349,-6.427823E+001,172.4880000,7.631822349,-6.058223E-004,0.0000799
11,7.631829849,-6.424632E+001,172.1804000,7.631829849,-6.076127E-004,0.0000834
12,7.631837349,-6.420896E+001,172.5489000,7.631837349,-6.107582E-004,0.0000799
13,7.631844849,-6.436802E+001,172.3964000,7.631844849,-5.994646E-004,0.0000800
14,7.631852349,-6.429332E+001,173.2358000,7.631852349,-6.057601E-004,0.0000718
15,7.631859849,-6.435992E+001,174.3938000,7.631859849,-6.024506E-004,0.0000591
16,7.631867349,-6.417416E+001,171.8457000,7.631867349,-6.121798E-004,0.0000877
17,7.631874849,-6.435770E+001,172.5969000,7.631874849,-6.004543E-004,0.0000780
18,7.631882349,-6.429308E+001,172.7084000,7.631882349,-6.050896E-004,0.0000774
19,7.631889849,-6.430450E+001,172.9164000,7.631889849,-6.045710E-004,0.0000751
20,7.631897349,-6.434035E+001,173.3668000,7.631897349,-6.026500E-004,0.0000701
21,7.631904849,-6.427888E+001,173.4649000,7.631904849,-6.070502E-004,0.0000695
22,7.631912349,-6.429265E+001,172.8913000,7.631912349,-6.053636E-004,0.0000755
23,7.631919849,-6.445132E+001,173.0817000,7.631919849,-5.946480E-004,0.0000722
24,7.631927349,-6.432580E+001,171.5741000,7.631927349,-6.011695E-004,0.0000891
25,7.631934849,-6.434046E+001,173.0507000,7.631934849,-6.022471E-004,0.0000734
26,7.631942349,-6.430533E+001,170.9271000,7.631942349,-6.015414E-004,0.0000961
27,7.631949849,-6.425852E+001,173.8182000,7.631949849,-6.088934E-004,0.0000660
28,7.631957349,-6.428951E+001,172.1389000,7.631957349,-6.045382E-004,0.0000835
29,7.631964849,-6.439317E+001,171.9013000,7.631964849,-5.970190E-004,0.0000850
30,7.631972349,-6.424730E+001,173.0746000,7.631972349,-6.087723E-004,0.0000739
31,7.631979849,-6.416019E+001,172.7431000,7.631979849,-6.144656E-004,0.0000782
32,7.631987349,-6.419471E+001,172.7876000,7.631987349,-6.120886E-004,0.0000775
33,7.631994849,-6.413705E+001,172.8647000,7.631994849,-6.162699E-004,0.0000771
34,7.632002349,-6.431302E+001,173.0257000,7.632002349,-6.041204E-004,0.0000739
35,7.632009849,-6.433956E+001,172.5663000,7.632009849,-6.016671E-004,0.0000785
36,7.632017349,-6.414141E+001,172.2425000,7.632017349,-6.150870E-004,0.0000838
37,7.632024849,-6.432956E+001,172.0148000,7.632024849,-6.015763E-004,0.0000844
38,7.632032349,-6.436175E+001,172.3647000,7.632032349,-5.998530E-004,0.0000804
39,7.632039849,-6.450748E+001,172.3313000,7.632039849,-5.898261E-004,0.0000794
40,7.632047349,-6.434464E+001,173.2324000,7.632047349,-6.021873E-004,0.0000715
41,7.632054849,-6.442682E+001,171.3765000,7.632054849,-5.939110E-004,0.0000901
42,7.632062349,-6.426446E+001,171.8622000,7.632062349,-6.058733E-004,0.0000866
43,7.632069849,-6.419707E+001,172.3399000,7.632069849,-6.112988E-004,0.0000822
44,7.632077349,-6.424802E+001,172.0205000,7.632077349,-6.072582E-004,0.0000851
45,7.632084849,-6.423211E+001,172.3944000,7.632084849,-6.089152E-004,0.0000813
46,7.632092349,-6.413909E+001,172.6224000,7.632092349,-6.157937E-004,0.0000797
47,7.632099849,-6.429727E+001,172.2743000,7.632099849,-6.041939E-004,0.0000820
48,7.632107349,-6.424092E+001,171.0741000,7.632107349,-6.062648E-004,0.0000952
49,7.632114849,-6.424951E+001,171.0743000,7.632114849,-6.056657E-004,0.0000951
50,7.632122349,-6.447361E+001,171.5749000,7.632122349,-5.910267E-004,0.0000875
51,7.632129849,-6.443716E+001,170.8236000,7.632129849,-5.923084E-004,0.0000957
52,7.632137349,-6.436780E+001,172.0757000,7.632137349,-5.990227E-004,0.0000834
53,7.632144849,-6.430533E+001,171.6346000,7.632144849,-6.026822E-004,0.0000886
54,7.632152349,-6.434046E+001,171.2582000,7.632152349,-5.996560E-004,0.0000922
55,7.632159849,-6.429893E+001,171.6614000,7.632159849,-6.031672E-004,0.0000884
56,7.632167349,-6.428674E+001,171.5065000,7.632167349,-6.037724E-004,0.0000902
57,7.632174849,-6.427733E+001,171.9893000,7.632174849,-6.051665E-004,0.0000852
58,7.632182349,-6.418816E+001,170.1028000,7.632182349,-6.082467E-004,0.0001061
59,7.632189849,-6.419521E+001,172.2824000,7.632189849,-6.113470E-004,0.0000828
60,7.632197349,-6.433038E+001,171.9780000,7.632197349,-6.014656E-004,0.0000848
61,7.632204849,-6.444086E+001,170.8352000,7.632204849,-5.920753E-004,0.0000955
62,7.632212349,-6.428705E+001,172.3398000,7.632212349,-6.049987E-004,0.0000814
63,7.632219849,-6.425040E+001,172.5597000,7.632219849,-6.078662E-004,0.0000794
64,7.632227349,-6.414903E+001,171.6402000,7.632227349,-6.136338E-004,0.0000902
65,7.632234849,-6.429296E+001,171.7481000,7.632234849,-6.037151E-004,0.0000876
66,7.632242349,-6.426388E+001,172.4200000,7.632242349,-6.067284E-004,0.0000807
67,7.632249849,-6.429904E+001,171.1389000,7.632249849,-6.023284E-004,0.0000939
68,7.632257349,-6.431194E+001,173.2798000,7.632257349,-6.045178E-004,0.0000712
69,7.632264849,-6.410332E+001,171.2145000,7.632264849,-6.161811E-004,0.0000952
70,7.632272349,-6.435628E+001,171.4477000,7.632272349,-5.988663E-004,0.0000901
71,7.632279849,-6.427853E+001,171.6669000,7.632279849,-6.045939E-004,0.0000886
72,7.632287349,-6.428548E+001,171.2314000,7.632287349,-6.034205E-004,0.0000931
73,7.632294849,-6.427084E+001,171.3826000,7.632294849,-6.046825E-004,0.0000916
74,7.632302349,-6.427270E+001,169.9178000,7.632302349,-6.020138E-004,0.0001070
75,7.632309849,-6.444794E+001,170.9970000,7.632309849,-5.918602E-004,0.0000938
76,7.632317349,-6.428338E+001,170.7375000,7.632317349,-6.027414E-004,0.0000983
77,7.632324849,-6.422443E+001,171.3728000,7.632324849,-6.079061E-004,0.0000922
78,7.632332349,-6.433217E+001,171.3128000,7.632332349,-6.003167E-004,0.0000917
79,7.632339849,-6.419020E+001,171.5028000,7.632339849,-6.105155E-004,0.0000912
80,7.632347349,-6.425423E+001,171.0626000,7.632347349,-6.053174E-004,0.0000952
81,7.632354849,-6.447804E+001,170.8811000,7.632354849,-5.896227E-004,0.0000946
82,7.632362349,-6.425455E+001,172.0955000,7.632362349,-6.069127E-004,0.0000843
83,7.632369849,-6.424561E+001,172.2308000,7.632369849,-6.077352E-004,0.0000829
84,7.632377349,-6.431821E+001,170.1946000,7.632377349,-5.993745E-004,0.0001036
85,7.632384849,-6.422861E+001,170.4703000,7.632384849,-6.060859E-004,0.0001017
86,7.632392349,-6.421180E+001,170.7467000,7.632392349,-6.077450E-004,0.0000990
87,7.632399849,-6.426141E+001,171.2737000,7.632399849,-6.051635E-004,0.0000929
88,7.632407349,-6.453664E+001,172.1782000,7.632407349,-5.876359E-004,0.0000807
89,7.632414849,-6.429178E+001,170.4981000,7.632414849,-6.017435E-004,0.0001007
90,7.632422349,-6.427346E+001,170.0117000,7.632422349,-6.021354E-004,0.0001060
91,7.632429849,-6.443499E+001,171.1671000,7.632429849,-5.930198E-004,0.0000922
92,7.632437349,-6.429147E+001,171.6976000,7.632437349,-6.037409E-004,0.0000881
93,7.632444849,-6.457239E+001,170.7059000,7.632444849,-5.829638E-004,0.0000954
94,7.632452349,-6.448753E+001,170.9915000,7.632452349,-5.891599E-004,0.0000934
95,7.632459849,-6.443686E+001,170.3146000,7.632459849,-5.914557E-004,0.0001009
96,7.632467349,-6.424058E+001,170.7676000,7.632467349,-6.057707E-004,0.0000985
97,7.632474849,-6.428954E+001,171.2668000,7.632474849,-6.031965E-004,0.0000927
98,7.632482349,-6.439767E+001,170.0525000,7.632482349,-5.936607E-004,0.0001041
99,7.632489849,-6.434789E+001,171.0499000,7.632489849,-5.988044E-004,0.0000943
100,7.632497349,-6.433116E+001,170.0289000,7.632497349,-5.981802E-004,0.0001052
101,7.632504849,-6.420529E+001,170.5326000,7.632504849,-6.078259E-004,0.0001014
102,7.632512349,-6.445769E+001,170.7746000,7.632512349,-5.908284E-004,0.0000960
103,7.632519849,-6.426279E+001,171.2196000,7.632519849,-6.049796E-004,0.0000934
104,7.632527349,-6.427692E+001,170.6290000,7.632527349,-6.030023E-004,0.0000995
105,7.632534849,-6.449650E+001,170.0366000,7.632534849,-5.869152E-004,0.0001031
106,7.632542349,-6.428484E+001,169.3341000,7.632542349,-6.000527E-004,0.0001130
107,7.632549849,-6.426380E+001,169.7666000,7.632549849,-6.023454E-004,0.0001087
108,7.632557349,-6.429105E+001,170.7320000,7.632557349,-6.022000E-004,0.0000983
109,7.632564849,-6.424954E+001,170.5601000,7.632564849,-6.047857E-004,0.0001006
110,7.632572349,-6.415085E+001,169.5403000,7.632572349,-6.097897E-004,0.0001126
111,7.632579849,-6.441498E+001,170.9774000,7.632579849,-5.940784E-004,0.0000943
112,7.632587349,-6.448164E+001,169.4536000,7.632587349,-5.868385E-004,0.0001093
113,7.632594849,-6.432796E+001,170.5016000,7.632594849,-5.992486E-004,0.0001003
114,7.632602349,-6.455516E+001,170.7233000,7.632602349,-5.841501E-004,0.0000954
115,7.632609849,-6.438954E+001,170.2924000,7.632609849,-5.946475E-004,0.0001017
116,7.632617349,-6.447913E+001,169.1727000,7.632617349,-5.864651E-004,0.0001122
117,7.632624849,-6.460934E+001,170.7793000,7.632624849,-5.806105E-004,0.0000943
118,7.632632349,-6.436745E+001,170.1811000,7.632632349,-5.959618E-004,0.0001031
119,7.632639849,-6.438196E+001,170.4114000,7.632639849,-5.953764E-004,0.0001006
120,7.632647349,-6.435402E+001,171.0642000,7.632647349,-5.984058E-004,0.0000941
121,7.632654849,-6.439078E+001,170.3152000,7.632654849,-5.946028E-004,0.0001015
122,7.632662349,-6.435316E+001,169.2858000,7.632662349,-5.952563E-004,0.0001126
123,7.632669849,-6.432126E+001,170.4188000,7.632669849,-5.995650E-004,0.0001012
124,7.632677349,-6.451186E+001,169.1318000,7.632677349,-5.841804E-004,0.0001122
125,7.632684849,-6.436146E+001,168.8168000,7.632684849,-5.937471E-004,0.0001174
126,7.632692349,-6.417213E+001,169.5586000,7.632692349,-6.083332E-004,0.0001121
127,7.632699849,-6.428236E+001,168.8870000,7.632699849,-5.993230E-004,0.0001177
128,7.632707349,-6.433592E+001,170.7171000,7.632707349,-5.990717E-004,0.0000979
129,7.632714849,-6.437273E+001,169.8145000,7.632714849,-5.949286E-004,0.0001069
130,7.632722349,-6.410938E+001,169.3539000,7.632722349,-6.123366E-004,0.0001151
131,7.632729849,-6.432302E+001,168.3228000,7.632729849,-5.953416E-004,0.0001230
132,7.632737349,-6.415719E+001,169.9136000,7.632737349,-6.100652E-004,0.0001085
133,7.632744849,-6.431543E+001,169.5178000,7.632744849,-5.983005E-004,0.0001107
134,7.632752349,-6.450009E+001,170.7086000,7.632752349,-5.878409E-004,0.0000962
135,7.632759849,-6.434251E+001,168.0716000,7.632759849,-5.934628E-004,0.0001254
136,7.632767349,-6.445469E+001,171.7905000,7.632767349,-5.926417E-004,0.0000855
137,7.632774849,-6.433227E+001,169.7978000,7.632774849,-5.976749E-004,0.0001076
138,7.632782349,-6.432243E+001,169.9549000,7.632782349,-5.986457E-004,0.0001060
139,7.632789849,-6.434767E+001,169.8170000,7.632789849,-5.966517E-004,0.0001072
140,7.632797349,-6.444411E+001,170.3902000,7.632797349,-5.910953E-004,0.0001001
141,7.632804849,-6.443668E+001,169.5511000,7.632804849,-5.900706E-004,0.0001088
142,7.632812349,-6.451124E+001,170.0090000,7.632812349,-5.858705E-004,0.0001032
143,7.632819849,-6.447900E+001,168.9742000,7.632819849,-5.860825E-004,0.0001142
144,7.632827349,-6.423603E+001,169.2723000,7.632827349,-6.033109E-004,0.0001143
145,7.632834849,-6.445507E+001,169.4703000,7.632834849,-5.886684E-004,0.0001094
146,7.632842349,-6.431516E+001,169.5770000,7.632842349,-5.984337E-004,0.0001101
147,7.632849849,-6.440246E+001,168.3474000,7.632849849,-5.899743E-004,0.0001217
148,7.632857349,-6.435594E+001,168.9114000,7.632857349,-5.943174E-004,0.0001165
149,7.632864849,-6.445999E+001,168.2717000,7.632864849,-5.859188E-004,0.0001216
150,7.632872349,-6.434827E+001,170.3186000,7.632872349,-5.975267E-004,0.0001019
151,7.632879849,-6.428434E+001,168.9147000,7.632879849,-5.992436E-004,0.0001174
152,7.632887349,-6.437312E+001,168.6354000,7.632887349,-5.925765E-004,0.0001191
153,7.632894849,-6.423545E+001,168.8383000,7.632894849,-6.024680E-004,0.0001189
154,7.632902349,-6.441911E+001,168.4184000,7.632902349,-5.889939E-004,0.0001207
155,7.632909849,-6.449516E+001,168.4427000,7.632909849,-5.839105E-004,0.0001194
156,7.632917349,-6.430035E+001,169.3530000,7.632917349,-5.990191E-004,0.0001126
157,7.632924849,-6.446974E+001,168.0044000,7.632924849,-5.846884E-004,0.0001242
158,7.632932349,-6.445497E+001,167.2000000,7.632932349,-5.838788E-004,0.0001327
159,7.632939849,-6.439830E+001,169.2112000,7.632939849,-5.920244E-004,0.0001128
160,7.632947349,-6.428252E+001,168.6539000,7.632947349,-5.988283E-004,0.0001202
161,7.632954849,-6.435714E+001,167.4733000,7.632954849,-5.911256E-004,0.0001313
162,7.632962349,-6.427712E+001,168.4185000,7.632962349,-5.987021E-004,0.0001227
163,7.632969849,-6.420428E+001,167.9309000,7.632969849,-6.026688E-004,0.0001289
164,7.632977349,-6.444273E+001,168.8929000,7.632977349,-5.883718E-004,0.0001155
165,7.632984849,-6.440500E+001,168.5334000,7.632984849,-5.901929E-004,0.0001197
166,7.632992349,-6.445550E+001,168.6964000,7.632992349,-5.871077E-004,0.0001174
167,7.632999849,-6.438930E+001,169.8704000,7.632999849,-5.938986E-004,0.0001061
168,7.633007349,-6.453188E+001,168.3755000,7.633007349,-5.813071E-004,0.0001196
169,7.633014849,-6.426759E+001,167.7970000,7.633014849,-5.979919E-004,0.0001293
170,7.633022349,-6.436214E+001,168.0659000,7.633022349,-5.921110E-004,0.0001251
171,7.633029849,-6.439352E+001,168.7170000,7.633029849,-5.913549E-004,0.0001180
172,7.633037349,-6.421607E+001,168.4230000,7.633037349,-6.029345E-004,0.0001235
173,7.633044849,-6.445891E+001,168.5133000,7.633044849,-5.864998E-004,0.0001192
174,7.633052349,-6.438166E+001,168.8181000,7.633052349,-5.923702E-004,0.0001171
175,7.633059849,-6.442725E+001,168.3631000,7.633059849,-5.883252E-004,0.0001212
176,7.633067349,-6.453252E+001,168.3521000,7.633067349,-5.812151E-004,0.0001198
177,7.633074849,-6.449048E+001,169.4060000,7.633074849,-5.861514E-004,0.0001096
178,7.633082349,-6.458596E+001,167.6130000,7.633082349,-5.760664E-004,0.0001265
179,7.633089849,-6.444865E+001,169.9424000,7.633089849,-5.899861E-004,0.0001046
180,7.633097349,-6.434287E+001,167.6208000,7.633097349,-5.924338E-004,0.0001300
181,7.633104849,-6.452409E+001,168.8918000,7.633104849,-5.828837E-004,0.0001144
182,7.633112349,-6.445777E+001,168.3418000,7.633112349,-5.862167E-004,0.0001210
183,7.633119849,-6.448170E+001,167.6207000,7.633119849,-5.830402E-004,0.0001280
184,7.633127349,-6.430903E+001,167.8882000,7.633127349,-5.953495E-004,0.0001278
185,7.633134849,-6.444740E+001,167.6533000,7.633134849,-5.854203E-004,0.0001281
186,7.633142349,-6.437385E+001,168.5044000,7.633142349,-5.922526E-004,0.0001204
187,7.633149849,-6.436427E+001,167.3323000,7.633149849,-5.903157E-004,0.0001327
188,7.633157349,-6.429802E+001,168.5179000,7.633157349,-5.974744E-004,0.0001214
189,7.633164849,-6.441821E+001,168.3159000,7.633164849,-5.888381E-004,0.0001218
190,7.633172349,-6.447388E+001,169.1840000,7.633172349,-5.868420E-004,0.0001121
191,7.633179849,-6.428938E+001,166.8743000,7.633179849,-5.943385E-004,0.0001386
192,7.633187349,-6.446646E+001,167.2104000,7.633187349,-5.831311E-004,0.0001324
193,7.633194849,-6.436446E+001,167.6269000,7.633194849,-5.909776E-004,0.0001296
